States,Latitude,Longitude
Andaman and Nicobar Islands,11.6670256,92.73598262
Andhra Pradesh,15.7504291,80.57002559
Arunachal Pradesh,27.1003988,93.61660071
Assam,26.7499809,94.21666744
Bihar,24.5854145,85.0799727
Chandigarh,30.719997,76.78000565
Chhattisgarh,22.0904204,82.15998734
Dadra And Nagar Haveli,20.2665782,73.0166178
Delhi,28.6699929,77.23000403
Goa,15.491997,73.81800065
Haryana,28.0500063,76.51999101
Himachal Pradesh,31.1000255,77.16659704
Jammu and Kashmir,33.5999593,75.46665849
Jharkhand,23.8003935,86.41998572
Karnataka,12.5703813,76.91999711
Kerala,8.9003727,76.56999263
Lakshadweep,10.5625733,72.63686717
Madhya Pradesh,22.3003911,78.13001949
Maharashtra,19.250232,75.16017493
Manipur,24.7999707,93.95001705
Meghalaya,25.5704922,91.8800142
Mizoram,23.710399,92.72001461
Nagaland,25.6669979,94.11657019
Odisha,19.8204297,85.40001746
Puducherry,11.9349937,79.83000037
Punjab,30.019974,75.98000281
Rajasthan,26.4499992,74.63998124
Sikkim,27.3333303,88.6166475
Tamil Nadu,10.4203858,78.15004187
Tripura,23.8354043,91.27999914
Uttar Pradesh,26.5999807,80.05000565
Uttarakhand,30.320409,78.05000565
West Bengal,22.5803904,87.52994665
Gujarat,22.2587,71.7924
Ladakh,34.152588,77.577049
Telangana,17.1124,79.0193
