States,Latitude,Longitude,Reported,Sigma,Delta,Today,Day,Population,TNaught,TN
Andhra Pradesh,15.7504291,80.57002559,2020-03-12,405,3,24,30,57013668,71,91
Bihar,25.1854145,86.4799727,2020-03-22,64,-17,4,20,119714369,81,99
Delhi,28.6699929,77.23000403,2020-03-02,1069,132,166,40,19306132,61,88
Gujarat,22.2587,71.7924,2020-03-19,468,40,90,23,69505645,78,87
Haryana,28.050006300000003,76.51999101,2020-03-04,179,3,3,38,29154181,63,93
Jammu and Kashmir,33.5999593,75.46665849,2020-03-09,224,-3,17,33,14107086,68,90
Karnataka,12.570381300000001,76.91999711,2020-03-09,226,-2,11,34,70259591,68,84
Kerala,8.9003727,76.56999263,2020-01-30,373,-5,10,72,38416970,29,80
Madhya Pradesh,21.300391100000002,76.13001949,2020-03-20,529,-30,78,22,83520830,79,90
Maharashtra,19.250232,75.16017493,2020-03-09,1761,-19,187,33,129230483,68,79
Odisha,19.8204297,85.40001746,2020-03-16,54,-4,4,26,48270350,75,101
Punjab,31.019973999999998,75.98000281,2020-03-09,158,-3,7,33,31904838,68,93
Rajasthan,26.449999199999997,74.63998124,2020-03-03,700,18,139,39,78830702,62,87
Tamil Nadu,12.4203858,78.15004187,2020-03-07,969,-19,58,35,82969084,66,89
Telangana,17.1124,79.0193,2020-03-02,503,-2,16,40,40254225,61,86
Uttar Pradesh,26.599980699999996,80.05000565,2020-03-04,452,-26,19,38,229784192,63,87
West Bengal,22.5803904,87.52994665,2020-03-17,126,9,10,25,104967532,76,92
